ID,x,y,Building,Level
379,0.3702375,0.227625,1,2
380,0.384925,0.227625,1,2
381,0.400425,0.2502625,1,2
382,0.38255,0.2470875,1,2
383,0.36745,0.2466875,1,2
384,0.3265375,0.2399375,1,2
385,0.2899875,0.2506625,1,2
386,0.3162125,0.2764875,1,2
387,0.270125,0.2864125,1,2
388,0.2836375,0.2864125,1,2
389,0.298725,0.2864125,1,2
390,0.2546375,0.284025,1,2
391,0.2466875,0.29555,1,2
392,0.2466875,0.30945,1,2
393,0.2466875,0.3225625,1,2
394,0.2466875,0.3376625,1,2
395,0.2466875,0.3746,1,2
396,0.2466875,0.3904875,1,2
397,0.2466875,0.4036,1,2
398,0.2466875,0.4179,1,2
399,0.2466875,0.4552375,1,2
400,0.2466875,0.46875,1,2
401,0.2466875,0.48345,1,2
402,0.2466875,0.4961625,1,2
403,0.25185,0.3630875,1,2
404,0.2399375,0.356325,1,2
405,0.2435125,0.4302125,1,2
406,0.23715,0.43975,1,2
407,0.255825,0.5072875,1,2
408,0.269725,0.5072875,1,2
409,0.284025,0.5072875,1,2
410,0.2983375,0.5072875,1,2
411,0.334475,0.5072875,1,2
412,0.3166,0.516425,1,2
413,0.28165,0.3328875,1,2
414,0.3122375,0.327325,1,2
415,0.3189875,0.356325,1,2
416,0.3035,0.3805625,1,2
417,0.292375,0.3614875,1,2
418,0.3019125,0.3618875,1,2
419,0.2729125,0.365075,1,2
420,0.2729125,0.3833375,1,2
421,0.2729125,0.4032,1,2
422,0.3027,0.4016125,1,2
423,0.3162125,0.29635,1,2
424,0.2605875,0.3916875,1,2
425,0.2939625,0.4175,1,2
426,0.277275,0.4385625,1,2
427,0.277275,0.471525,1,2
428,0.2975375,0.4318,1,2
429,0.2975375,0.450075,1,2
430,0.313825,0.4310125,1,2
431,0.3225625,0.4306125,1,2
432,0.3178,0.4409375,1,2
433,0.3221625,0.45365,1,2
434,0.2979375,0.473125,1,2
435,0.3182,0.473125,1,2
436,0.334475,0.4929875,1,2
437,0.3336875,0.3908875,1,2
438,0.3698375,0.3015125,1,2
439,0.3698375,0.3408375,1,2
440,0.3698375,0.38295,1,2
441,0.3698375,0.4159125,1,2
442,0.3944625,0.2764875,1,2
443,0.3952625,0.356325,1,2
444,0.35395,0.4616,1,2
445,0.38135,0.4635875,1,2
446,0.3626875,0.507675,1,2
447,0.392475,0.5203875,1,2
448,0.4012125,0.5108625,1,2
449,0.39645,0.436175,1,2
450,0.435775,0.493775,1,2
451,0.493775,0.48385,1,2
452,0.4774875,0.51165,1,2
453,0.4767,0.5203875,1,2
454,0.5001375,0.5172125,1,2
455,0.522775,0.5140375,1,2
456,0.4886125,0.537475,1,2
457,0.515225,0.5470125,1,2
458,0.49815,0.5529625,1,2
459,0.4858375,0.5565375,1,2
460,0.4858375,0.5756125,1,2
461,0.4858375,0.616525,1,2
462,0.4858375,0.6355875,1,2
463,0.4858375,0.6538625,1,2
464,0.480275,0.5962625,1,2
465,0.49775,0.6681625,1,2
466,0.5168125,0.667375,1,2
467,0.5354875,0.667375,1,2
468,0.5779875,0.667375,1,2
469,0.5970625,0.667375,1,2
470,0.615725,0.667375,1,2
471,0.6574375,0.667375,1,2
472,0.6769125,0.667375,1,2
473,0.695175,0.667375,1,2
474,0.7071,0.6550625,1,2
475,0.7071,0.6363875,1,2
476,0.7071,0.616925,1,2
477,0.7071,0.5748125,1,2
478,0.7071,0.55575,1,2
479,0.7071,0.537075,1,2
480,0.5569375,0.6717375,1,2
481,0.631225,0.6622125,1,2
482,0.6363875,0.6761125,1,2
483,0.7063,0.5966625,1,2
484,0.7166375,0.516025,1,2
485,0.552175,0.5136375,1,2
486,0.5613125,0.5168125,1,2
487,0.5569375,0.54105,1,2
488,0.550975,0.529925,1,2
489,0.5819625,0.5287375,1,2
490,0.6117625,0.5279375,1,2
491,0.637575,0.54025,1,2
492,0.6367875,0.5203875,1,2
493,0.666175,0.5319125,1,2
494,0.6785,0.51285,1,2
495,0.595075,0.495375,1,2
496,0.5390625,0.529925,1,2
497,0.6141375,-0.69385,1,2
498,0.500925,0.6042125,1,2
499,0.603025,0.6510875,1,2
500,0.6916,0.5855375,1,2
501,0.52715,0.5899125,1,2
502,0.52715,0.6264625,1,2
503,0.5565375,0.5744125,1,2
504,0.5633,0.6256625,1,2
505,0.58475,0.58435,1,2
506,0.6141375,0.5851375,1,2
507,0.6038125,0.6256625,1,2
508,0.6367875,0.6212875,1,2
509,0.667775,0.5831625,1,2
510,0.666575,0.6248625,1,2
511,0.5243625,0.435,1,2
512,0.5108625,0.435,1,2
513,0.49695,0.435,1,2
514,0.4667625,0.400825,1,2
515,0.4667625,0.3877125,1,2
516,0.4667625,0.3730125,1,2
517,0.4667625,0.3583125,1,2
518,0.4667625,0.3444125,1,2
519,0.4667625,0.3305125,1,2
520,0.508475,0.4044,1,2
521,0.508475,-2.1190375,1,2
522,0.508475,0.3618875,1,2
523,0.508475,0.33805,1,2
524,0.537475,0.3980375,1,2
525,0.5605125,0.3841375,1,2
526,0.537475,0.36825,1,2
527,0.537475,0.3547375,1,2
528,0.55495,0.3332875,1,2
529,0.5132375,0.317,1,2
530,0.5132375,0.3035,1,2
531,0.508475,0.2752875,1,2
532,0.494575,0.2685375,1,2
533,0.4461125,0.2931625,1,2
534,0.436975,0.26615,1,2
535,0.45365,0.2677375,1,2
536,0.46915,0.2717125,1,2
537,0.46875,0.2868125,1,2
538,0.46835,0.3027,1,2
539,0.4624,0.2502625,1,2
540,0.46915,0.233975,1,2
541,0.4743125,0.2180875,1,2
542,0.479075,0.204975,1,2
543,0.4842375,0.191475,1,2
544,0.4894125,0.1779625,1,2
545,0.4949625,0.162075,1,2
546,0.4997375,0.148575,1,2
547,0.5049,0.1346625,1,2
548,0.5096625,0.1199625,1,2
549,0.5144375,0.1060625,1,2
550,0.52,0.0913625,1,2
551,0.5311125,0.0695125,1,2
552,0.49735,0.2443,1,2
553,0.501725,0.2292125,1,2
554,0.5064875,0.2141125,1,2
555,0.51165,0.2010125,1,2
556,0.5168125,0.1871,1,2
557,0.521975,0.1724,1,2
558,0.5279375,0.1577125,1,2
559,0.5343,0.2872125,1,2
560,0.551775,0.2872125,1,2
561,0.5609125,0.306275,1,2
562,0.56925,0.29555,1,2
563,0.57005,0.28205,1,2
564,0.566075,0.2725,1,2
565,0.566075,0.2594,1,2
566,0.566075,0.2462875,1,2
567,0.566075,0.2316,1,2
568,0.566075,0.2169,1,2
569,0.566075,0.2029875,1,2
570,0.566075,0.1886875,1,2
571,0.566075,0.1736,1,2
572,0.566075,0.1493625,1,2
573,0.566875,0.105275,1,2
574,0.6105625,0.0997125,1,2
575,0.6471125,0.0889875,1,2
576,0.6514875,0.10765,1,2
577,0.6359875,0.1132125,1,2
578,0.6840625,0.0989125,1,2
579,0.7158375,0.09295,1,2
580,0.7206,0.13785,1,2
581,0.7206,0.1529375,1,2
582,0.7206,0.169625,1,2
583,0.7206,0.18475,1,2
584,0.7206,0.2010125,1,2
585,0.7206,0.21725,1,2
586,0.7206,0.234375,1,2
587,0.7206,0.2498625,1,2
588,0.7206,0.2649625,1,2
589,0.7206,0.28125,1,2
590,0.7051125,0.313425,1,2
591,0.6765125,0.313425,1,2
592,0.6622125,0.313425,1,2
593,0.6475125,0.313425,1,2
594,0.6332125,0.313425,1,2
595,0.6193,0.313425,1,2
596,0.5998375,0.1382375,1,2
597,0.616925,0.13745,1,2
598,0.6073875,0.16645,1,2
599,0.6431375,0.158875,1,2
600,0.6796875,0.158875,1,2
601,0.6216875,0.20895,1,2
602,0.6622125,0.20895,1,2
603,0.6868375,0.2026,1,2
604,0.681275,0.2248375,1,2
605,0.6932,0.22405,1,2
606,0.6077875,0.2602,1,2
607,0.644725,0.2470875,1,2
608,0.644725,0.2752875,1,2
609,0.6800875,0.2431125,1,2
610,0.6800875,0.2717125,1,2
611,0.5926875,0.307075,1,2
612,0.5827625,0.2069625,1,2
613,0.645925,0.12315,1,2
614,0.5474,0.1541375,1,2
615,0.5474,0.1541375,1,2
616,0.2323875,0.1680375,1,3
617,0.2459,0.169225,1,3
618,0.299125,0.176775,1,3
619,0.299125,0.1608875,1,3
620,0.3515625,0.170025,1,3
621,0.3801625,0.169625,1,3
622,0.3126375,0.2224625,1,3
623,0.29635,0.255825,1,3
624,0.2621875,0.234375,1,3
625,0.3154125,0.1926625,1,3
626,0.349175,0.219275,1,3
627,0.364275,0.219275,1,3
628,0.378975,0.234775,1,3
629,0.379375,0.2439125,1,3
630,0.3618875,0.241925,1,3
631,0.3475875,0.241925,1,3
632,0.3376625,0.25305,1,3
633,0.392875,0.2760875,1,3
634,0.4167125,0.234775,1,3
635,0.421075,0.2693375,1,3
636,0.414325,0.29555,1,3
637,0.428625,0.2983375,1,3
638,0.4492875,0.2288125,1,3
639,0.45405,0.2137125,1,3
640,0.458825,0.1998125,1,3
641,0.464375,0.1855125,1,3
642,0.46915,0.1724,1,3
643,0.4747125,0.1577125,1,3
644,0.479875,0.1430125,1,3
645,0.4842375,0.1291,1,3
646,0.4894125,0.1152,1,3
647,0.4953625,0.1017,1,3
648,0.5001375,0.087,1,3
649,0.5041,0.0723,1,3
650,0.51285,0.054425,1,3
651,0.516425,0.1001,1,3
652,0.5215875,0.13665,1,3
653,0.508475,0.15175,1,3
654,0.501725,0.1672375,1,3
655,0.4965625,0.18115,1,3
656,0.4913875,0.19545,1,3
657,0.486225,0.20975,1,3
658,0.4814625,0.22365,1,3
659,0.4854375,0.1684375,1,3
660,0.4778875,0.2462875,1,3
661,0.48265,0.2824375,1,3
662,0.4878125,0.3122375,1,3
663,0.487425,0.3313,1,3
664,0.491,0.35315,1,3
665,0.4878125,0.3758,1,3
666,0.4886125,0.3976375,1,3
667,0.537475,0.378975,1,3
668,0.515625,0.3956625,1,3
669,0.4846375,0.414325,1,3
670,0.4759,0.4302125,1,3
671,0.4902,0.4306125,1,3
672,0.5037125,0.4306125,1,3
673,0.4461125,0.4675625,1,3
674,0.4755,0.479075,1,3
675,0.458025,0.5060875,1,3
676,0.4806625,0.51125,1,3
677,0.457625,0.516025,1,3
678,0.5045,0.51125,1,3
679,0.49775,0.5339,1,3
680,0.49775,0.5533625,1,3
681,0.4699375,0.5323125,1,3
682,0.4667625,0.550975,1,3
683,0.4667625,0.5708375,1,3
684,0.4667625,0.61215,1,3
685,0.4667625,0.6320125,1,3
686,0.4667625,0.6502875,1,3
687,0.4616,0.5915,1,3
688,0.4810625,0.6614125,1,3
689,0.457625,0.6721375,1,3
690,0.49815,0.6622125,1,3
691,0.5176125,0.6622125,1,3
692,0.55615,0.6622125,1,3
693,0.5708375,0.6622125,1,3
694,0.58435,0.6622125,1,3
695,0.59945,0.6622125,1,3
696,0.6359875,0.6622125,1,3
697,0.6506875,0.6622125,1,3
698,0.6645875,0.6622125,1,3
699,0.6788875,0.6622125,1,3
700,0.6908125,0.6479125,1,3
701,0.688825,0.631625,1,3
702,0.688025,0.61215,1,3
703,0.6939875,0.5911,1,3
704,0.688825,0.57045,1,3
705,0.688825,0.552175,1,3
706,0.688825,0.5323125,1,3
707,0.537475,0.6725375,1,3
708,0.54145,0.659425,1,3
709,0.61295,0.6574375,1,3
710,0.6177125,0.6717375,1,3
711,0.6979625,0.51165,1,3
712,0.5196,0.5529625,1,3
713,0.4818625,0.608975,1,3
714,0.579975,0.645925,1,3
715,0.6733375,0.5756125,1,3
716,0.5331,0.508475,1,3
717,0.5418375,0.51125,1,3
718,0.550975,0.5037125,1,3
719,0.536675,0.522375,1,3
720,0.5390625,0.52635,1,3
721,0.54065,0.5422375,1,3
722,0.54065,0.5680625,1,3
723,0.54065,0.6220875,1,3
724,0.507675,0.5895125,1,3
725,0.507675,0.6212875,1,3
726,0.5211875,0.6363875,1,3
727,0.580775,0.5350875,1,3
728,0.580775,0.6062,1,3
729,0.550975,0.5188,1,3
730,0.550975,0.5919,1,3
731,0.6189125,0.516025,1,3
732,0.6479125,0.5172125,1,3
733,0.6479125,0.5565375,1,3
734,0.6181125,0.5382625,1,3
735,0.6181125,0.566875,1,3
736,0.6248625,0.6181125,1,3
737,0.660225,0.6324125,1,3
738,0.61215,0.59825,1,3
739,0.653075,0.6117625,1,3
740,0.6582375,0.5915,1,3
741,0.638775,0.5911,1,3
742,0.4608,0.4274375,1,1
743,0.4898,0.4469,1,1
